Groupe de couches,Index de la couche,Nom de la couche,Nombre d'objets
00000000-0000-0000-0000-000000000000,0,PARCELLES,0
ef3f9994-ba5e-4f68-8f37-f26386c318fa,1,Parcelles-publiques - Copy,154
d2c59b47-d1b7-45d4-9ff8-7b7a6fe8e819,2,Municipalite-de-Sion,60
d2c59b47-d1b7-45d4-9ff8-7b7a6fe8e819,3,Etat-du Valais,10
d2c59b47-d1b7-45d4-9ff8-7b7a6fe8e819,4,Bourgeoisie-de-Sion,3
ef3f9994-ba5e-4f68-8f37-f26386c318fa,5,Parcelles-privees,101
9cc07596-eacd-46bc-b98a-04145a763402,6,CFF,7
72cece99-866d-4546-8b55-f3a5995f9ef2,7,Hatch,6
ef3f9994-ba5e-4f68-8f37-f26386c318fa,8,Parcelles-interet-public,9
ef3f9994-ba5e-4f68-8f37-f26386c318fa,9,Parcellaire-complet,175
ef3f9994-ba5e-4f68-8f37-f26386c318fa,10,Numeros-parcelles,1950
ef3f9994-ba5e-4f68-8f37-f26386c318fa,11,00_parcelles,177
00000000-0000-0000-0000-000000000000,12,NOUVELLE_TOPO,1
16bf21ee-e5b7-4989-8996-3821d56510cd,13,VOIRIES,0
1a447210-e40a-47ac-aab1-5486591e3b6f,14,WHITE_LINES,129
1a447210-e40a-47ac-aab1-5486591e3b6f,15,RUES,8
1a447210-e40a-47ac-aab1-5486591e3b6f,16,PLACES_PARKING,389
1a447210-e40a-47ac-aab1-5486591e3b6f,17,PISTE_CYCL,32
1a447210-e40a-47ac-aab1-5486591e3b6f,18,CROSSWALKS,129
1a447210-e40a-47ac-aab1-5486591e3b6f,19,BLOCKS,317
1a447210-e40a-47ac-aab1-5486591e3b6f,20,BANDE_PLANTATION,171
16bf21ee-e5b7-4989-8996-3821d56510cd,21,PAYSAGE,0
7f6989a5-a2ab-481d-b3fe-e6de4d44634a,22,PISCINE,2
7f6989a5-a2ab-481d-b3fe-e6de4d44634a,23,CHAINE DES PARCS,0
54a484df-4822-416f-8fca-15b722eda123,24,PHASE_3,89
c24e4bb1-2954-4c69-8fa6-f7644ef06b0a,25,PLACETTES,56
c24e4bb1-2954-4c69-8fa6-f7644ef06b0a,26,PELOUSE_COEUR_D_ILOT,47
c24e4bb1-2954-4c69-8fa6-f7644ef06b0a,27,PARC,2
c24e4bb1-2954-4c69-8fa6-f7644ef06b0a,28,CHEMINS,52
c24e4bb1-2954-4c69-8fa6-f7644ef06b0a,29,BASSINS_D_EAU,3
7f6989a5-a2ab-481d-b3fe-e6de4d44634a,30,AGRICULTURE_URBAINE,409
00000000-0000-0000-0000-000000000000,31,S-SECTEURS,0
1badbe73-638c-43fc-8e35-e2a9101bff13,32,R21.1,1
1badbe73-638c-43fc-8e35-e2a9101bff13,33,R21.2,1
1badbe73-638c-43fc-8e35-e2a9101bff13,34,R21.3,1
1badbe73-638c-43fc-8e35-e2a9101bff13,35,R21.4,1
1badbe73-638c-43fc-8e35-e2a9101bff13,36,R21.5,1
